"DOBorough","PUBorough","tip_amount","total_amount","trip_distance","fare_amount","payment_type","percent_tip"
"Manhattan","Airport",11.64,69.83,8.43,38,1,16.6690534154375
"Manhattan","Manhattan",3.15,15.75,1.35,8.6,1,20
"Queens","Airport",3,31.65,5.64,25.4,1,9.47867298578199
"Manhattan","Manhattan",2.3,23.7,1.72,14.9,1,9.70464135021097
"Manhattan","Airport",9.35,56.2,7,36.6,1,16.6370106761566
"Manhattan","Manhattan",1.11,14.41,1.05,9.3,1,7.7029840388619
"Brooklyn","Manhattan",8.5,51.2,6.8,38.7,1,16.6015625
"Manhattan","Manhattan",4.12,24.72,2.13,15.6,1,16.6666666666667
"Manhattan","Airport",16.46,98.76,17.48,70,1,16.6666666666667
"Manhattan","Manhattan",4.03,20.13,1.21,12.1,1,20.019870839543
"Manhattan","Manhattan",4.82,28.92,1.59,19.1,1,16.6666666666667
"Manhattan","Manhattan",6.72,40.32,6.23,29.6,1,16.6666666666667
"Manhattan","Manhattan",2.88,17.28,1.02,7.9,1,16.6666666666667
"Manhattan","Manhattan",0,19.2,1.6,14.2,1,0
"Manhattan","Manhattan",2.35,14.25,0.6,7.9,1,16.4912280701754
"Manhattan","Manhattan",2.66,15.96,0.8,9.3,1,16.6666666666667
"Manhattan","Manhattan",2,26.9,2.52,18.4,1,7.43494423791822
"Manhattan","Manhattan",4.2,25.2,3.14,17,1,16.6666666666667
"Manhattan","Manhattan",2.7,16.4,0.5,7.2,1,16.4634146341463
"Manhattan","Manhattan",4.26,25.56,2.27,16.3,1,16.6666666666667
"Manhattan","Manhattan",2,14.6,0.89,8.6,1,13.6986301369863
"Manhattan","Manhattan",3.78,24.78,1.76,17,1,15.2542372881356
"Airport","Manhattan",15,127.05,19.11,92.3,1,11.8063754427391
"Queens","Queens",0,17,0.8,15.5,1,0
"Manhattan","Manhattan",3.15,13.65,0.46,6.5,1,23.0769230769231
"Manhattan","Manhattan",3.04,23.34,1.91,16.3,1,13.0248500428449
"Manhattan","Manhattan",4.34,26.04,2.52,17.7,1,16.6666666666667
"Manhattan","Manhattan",3.7,22.2,1.5,13.5,1,16.6666666666667
"Airport","Manhattan",16.2,97.14,16,70,1,16.6769610870908
"Manhattan","Manhattan",4,28.9,2.6,18.4,1,13.840830449827
"Manhattan","Manhattan",2.24,13.44,0.96,7.2,1,16.6666666666667
"Manhattan","Manhattan",0.5,13.1,0.96,8.6,1,3.81679389312977
"Manhattan","Manhattan",3.6,18,0.96,7.9,1,20
"Manhattan","Manhattan",3.64,21.84,2.57,14.2,1,16.6666666666667
"Manhattan","Manhattan",7.28,43.68,4.7,32.4,1,16.6666666666667
"Manhattan","Manhattan",4,21.1,1.1,12.1,1,18.957345971564
"Manhattan","Manhattan",1.2,17,1.14,9.3,1,7.05882352941176
"Queens","Airport",5,76.35,15.72,68.1,1,6.54878847413229
"Manhattan","Manhattan",3.36,20.16,1.22,12.8,1,16.6666666666667
"Manhattan","Manhattan",0,14.3,1.24,9.3,1,0
"Manhattan","Manhattan",2.44,14.64,0.94,7.2,1,16.6666666666667
"Manhattan","Manhattan",2.16,12.96,0.58,5.8,1,16.6666666666667
"Manhattan","Airport",16.55,99.24,30.8,70,1,16.67674324869
"Brooklyn","Manhattan",8.65,43.25,6.2,29.6,1,20
"Manhattan","Manhattan",4.05,24.35,2.7,16.3,1,16.6324435318275
"Manhattan","Manhattan",2.5,21.8,2.2,12.8,1,11.4678899082569
"Manhattan","Manhattan",2.66,15.96,1.19,9.3,1,16.6666666666667
"Manhattan","Manhattan",3,18,1.18,10,1,16.6666666666667
"Manhattan","Manhattan",2.8,14,0.78,7.2,1,20
"Manhattan","Manhattan",2.66,15.96,1.66,9.3,1,16.6666666666667
"Manhattan","Airport",12.31,100,21.45,70,1,12.31
"Manhattan","Manhattan",4.56,27.36,1.59,16.3,1,16.6666666666667
"Manhattan","Manhattan",2,23,1.3,17,1,8.69565217391304
"Manhattan","Manhattan",2.44,14.64,0.53,7.2,1,16.6666666666667
