"DOBorough","PUBorough","tip_amount","total_amount","trip_distance","PUMonth","fare_amount","payment_type","percent_tip"
"Manhattan","Queens",13.85,69.44,9.8,"Dec",39.4,1,19.9452764976959
"Manhattan","Manhattan",2.25,13.45,0.6,"Jun",7.2,1,16.728624535316
"Manhattan","Manhattan",7,30.4,3.8,"Apr",18.4,1,23.0263157894737
"Manhattan","Manhattan",5.67,24.57,2.11,"May",14.9,1,23.0769230769231
"Queens","Manhattan",15.06,75.3,10.03,"Dec",44.3,1,20
"Manhattan","Manhattan",3.08,18.48,1.27,"Aug",11.4,1,16.6666666666667
"Queens","Manhattan",5,53.7,9.22,"May",38.7,1,9.31098696461825
"Manhattan","Manhattan",2.58,15.48,1.1,"Jan",7.9,1,16.6666666666667
"Manhattan","Manhattan",3.3,19.8,1.2,"Mar",10,1,16.6666666666667
"Manhattan","Manhattan",4.26,25.56,2.62,"Dec",16.3,1,16.6666666666667
"Manhattan","Manhattan",3.44,20.64,1.6,"Jul",10.7,1,16.6666666666667
"Manhattan","Manhattan",4,24,1.86,"Apr",13.5,1,16.6666666666667
"Manhattan","Manhattan",1.88,11.28,0.5,"Jun",4.4,1,16.6666666666667
"Manhattan","Manhattan",2,14.6,1.27,"Jun",8.6,1,13.6986301369863
"Manhattan","Manhattan",1,13.9,0.88,"Dec",7.9,1,7.19424460431655
"Manhattan","Manhattan",5.18,31.08,2.78,"Nov",21.9,1,16.6666666666667
"Manhattan","Manhattan",2,23,1.93,"Sep",17,1,8.69565217391304
"Manhattan","Manhattan",6.65,39.95,2.5,"May",26.8,1,16.6458072590738
"Manhattan","Manhattan",2.66,15.96,1.24,"Oct",9.3,1,16.6666666666667
"Manhattan","Manhattan",4.56,34.96,5.67,"Aug",25.4,1,13.0434782608696
"Manhattan","Manhattan",3.16,18.96,0.56,"Jul",9.3,1,16.6666666666667
"Manhattan","Manhattan",3.5,21,1.08,"Apr",13.5,1,16.6666666666667
"Manhattan","Manhattan",2.72,16.32,1.4,"Jan",8.6,1,16.6666666666667
"Manhattan","Queens",17.46,104.76,18.64,"Apr",70,1,16.6666666666667
"Manhattan","Manhattan",1,18.5,2.24,"May",13.5,1,5.4054054054054
"Queens","Queens",2.72,20.87,3.2,"Apr",14.9,1,13.0330618112123
"Manhattan","Manhattan",5.75,34.45,4.1,"Oct",24.7,1,16.6908563134978
"Manhattan","Manhattan",3.36,20.16,1.61,"Aug",12.8,1,16.6666666666667
"Manhattan","Manhattan",4.08,17.68,1.09,"Mar",8.6,1,23.0769230769231
"Manhattan","Manhattan",2.25,17.25,1.39,"May",10,1,13.0434782608696
"Manhattan","Manhattan",4.2,25.2,2.3,"Apr",17,1,16.6666666666667
"Manhattan","Manhattan",3.56,21.36,2.47,"Jan",12.8,1,16.6666666666667
"Bronx","Manhattan",10,58.6,10.23,"Mar",43.6,1,17.0648464163823
"Manhattan","Manhattan",3.08,18.48,1.8,"May",11.4,1,16.6666666666667
"Manhattan","Manhattan",2.1,16.1,0.79,"May",10,1,13.0434782608696
"Manhattan","Manhattan",1.89,14.49,1.07,"Apr",8.6,1,13.0434782608696
"Manhattan","Manhattan",2,24.1,1.89,"Apr",15.6,1,8.29875518672199
"Manhattan","Manhattan",1.83,14.03,0.87,"Jan",7.2,1,13.0434782608696
"Manhattan","Manhattan",1.68,10.08,0.16,"Dec",4.4,1,16.6666666666667
"Manhattan","Manhattan",6.3,37.8,4.08,"Mar",27.5,1,16.6666666666667
"Manhattan","Manhattan",2,16.7,1.67,"Feb",10.7,1,11.9760479041916
"Manhattan","Manhattan",2.72,16.32,0.85,"Sep",8.6,1,16.6666666666667
"Manhattan","Manhattan",3.14,18.84,1.3,"Jan",10.7,1,16.6666666666667
"Manhattan","Manhattan",2.86,17.16,1.19,"Nov",9.3,1,16.6666666666667
"Manhattan","Manhattan",0,16.5,1.01,"Mar",10,1,0
"Brooklyn","Manhattan",15,77.25,11.83,"Apr",49.2,1,19.4174757281553
"Brooklyn","Manhattan",4.66,51.26,8.97,"Aug",40.1,1,9.09090909090909
"Brooklyn","Queens",10.58,65.23,10.56,"Jul",46.4,1,16.2195308906945
"Manhattan","Manhattan",3.5,17.5,1.18,"Apr",10,1,20
"Manhattan","Manhattan",1.95,11.75,0.5,"Jan",5.8,1,16.5957446808511
"Manhattan","Manhattan",2,28.2,4.29,"Nov",21.2,1,7.09219858156028
"Manhattan","Manhattan",3.9,23.5,1.8,"Mar",15.6,1,16.5957446808511
"Manhattan","Manhattan",2,13.9,1.03,"Dec",7.9,1,14.3884892086331
"Manhattan","Queens",13.65,81.9,12.27,"May",52.7,1,16.6666666666667
"Queens","Queens",11.72,60.37,11.09,"Jul",42.9,1,19.4136160344542
"Manhattan","Manhattan",7.56,45.36,3.71,"Oct",33.8,1,16.6666666666667
"Manhattan","Manhattan",4.1,20.5,1.49,"May",11.4,1,20
"Manhattan","Manhattan",2.88,17.28,0.67,"Feb",7.9,1,16.6666666666667
"Manhattan","Manhattan",2,23.7,1.94,"Mar",17.7,1,8.43881856540084
"Manhattan","Manhattan",4.06,24.36,2.66,"Jan",16.3,1,16.6666666666667
"Manhattan","Manhattan",0.1,17.2,1.73,"Mar",12.1,1,0.581395348837209
"Queens","Manhattan",18.5,92.5,17.99,"May",70,1,20
"Unknown","Unknown",2.1,12.6,0.84,"Feb",6.5,1,16.6666666666667
"Brooklyn","Queens",11.88,71.28,15.07,"May",56.9,1,16.6666666666667
"Brooklyn","Queens",0,48.95,10.5,"Jul",45.7,1,0
"Manhattan","Manhattan",6.3,37.8,1.5,"Jul",27.5,1,16.6666666666667
"Manhattan","Manhattan",2.16,12.96,0.55,"Aug",5.8,1,16.6666666666667
"Manhattan","Manhattan",1.58,17.28,1.39,"Jun",10.7,1,9.14351851851852
